"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000130723.21","ENSG00000130723.21",0.382828476630883,3.62115964932111,8.30510179209223,0.00415363332320914,0.00708383014794949
"ENSG00000162694.14","ENSG00000162694.14",0.295292134283547,3.01105542088329,8.30107714519439,0.00416266869147849,0.00709797858582478
"ENSG00000109083.14","ENSG00000109083.14",0.219969593553801,3.67574211914666,10.1882250587935,0.00416444815568195,0.00709975178379447
"ENSG00000166444.19","ENSG00000166444.19",0.413250199009563,2.65934669513924,8.29560379097633,0.004174988666029,0.00711645795345852
"ENSG00000154059.11","ENSG00000154059.11",-0.267012183741395,3.73493268677744,8.29109838653708,0.00418515784244663,0.0071325253483912
"ENSG00000131148.9","ENSG00000131148.9",0.261080358671363,3.69183109419548,11.6138946590013,0.00419926859679906,0.00715530325333173
"ENSG00000172478.18","ENSG00000172478.18",0.886224877298122,4.59592189030893,8.27123895682119,0.00423028531576909,0.00720687471719313
"ENSG00000106153.13","ENSG00000106153.13",0.218910880294623,8.83264825388673,8.25427955770919,0.00426921652296202,0.00727190891065213
"ENSG00000134884.15","ENSG00000134884.15",0.311813978348059,4.34675309823926,8.25385741757967,0.0042701902259806,0.00727227712780092
"ENSG00000166831.9","ENSG00000166831.9",0.471907824433609,4.22034109102729,8.24556376039411,0.00428936637961505,0.00730363909973475
"ENSG00000054267.22","ENSG00000054267.22",0.281856645068393,3.16801838472115,8.23728976906456,0.00430858478637583,0.00733506188139883
"ENSG00000178691.11","ENSG00000178691.11",0.262116729742234,3.81587721383263,8.23605804662761,0.004311453286639,0.0073386438921515
"ENSG00000177733.7","ENSG00000177733.7",0.196890944769112,5.05887724368897,8.22982984205707,0.00432598778051767,0.00736207812319973
"ENSG00000229809.8","ENSG00000229809.8",-0.298828740014325,3.37704181386175,8.22516614171829,0.00433690404683683,0.0073793475451318
"ENSG00000157601.14","ENSG00000157601.14",-0.612026073066252,4.42360901004334,8.2185900893939,0.0043523444005601,0.00740430732684334
"ENSG00000169710.9","ENSG00000169710.9",0.571681801794442,7.69987540403486,8.2160127822039,0.00435841115103816,0.00741331450212018
"ENSG00000106261.17","ENSG00000106261.17",0.303334918963215,4.94300739159721,8.21503447930925,0.00436071625149959,0.00741528780017835
"ENSG00000162714.12","ENSG00000162714.12",0.509873364764326,2.64003233724438,8.21486481834584,0.00436111613747989,0.00741528780017835
"ENSG00000216775.3","ENSG00000216775.3",0.67571289935241,3.72104605122531,8.21450525715151,0.00436196373672718,0.00741541559634867
"ENSG00000239789.6","ENSG00000239789.6",0.316587205953585,3.78093816303129,8.21059681500697,0.00437118804101296,0.00742978137282657
"ENSG00000142453.12","ENSG00000142453.12",0.289698680415616,4.06969106032885,8.20928769024892,0.00437428215955538,0.00743372432850622
"ENSG00000127947.16","ENSG00000127947.16",0.276198854359895,4.37206935550565,8.19906815313451,0.00439851314826576,0.00747357986254004
"ENSG00000112096.19","ENSG00000112096.19",-0.457816319656895,7.02750029932023,8.19316724120573,0.00441256693223025,0.00749613210925683
"ENSG00000003402.20","ENSG00000003402.20",-0.256211278878308,3.2911754747714,14.7871150157735,0.00441968004364945,0.00750688754759991
"ENSG00000133048.13","ENSG00000133048.13",1.25252999009296,8.75539007489818,8.18979013439293,0.0044206305953409,0.00750717383960245
"ENSG00000159479.17","ENSG00000159479.17",0.202702199781233,5.16472130797208,8.18933100189738,0.0044217280485293,0.00750770945629311
"ENSG00000005175.10","ENSG00000005175.10",0.217536031107928,3.38147388012501,13.3779293429627,0.00443864941667681,0.00753510776305877
"ENSG00000163513.19","ENSG00000163513.19",-0.332057560081163,5.11853723523589,8.1741097688691,0.00445826912685598,0.00756707631149529
"ENSG00000273271.1","ENSG00000273271.1",0.367641638641098,3.09381672400479,8.1566770090705,0.00450049887879071,0.00763740308226813
"ENSG00000067248.10","ENSG00000067248.10",0.187583262323572,4.20806107360807,8.1740496941777,0.00450308745538683,0.00764044531136683
"ENSG00000099622.14","ENSG00000099622.14",0.255584670266165,5.98105878753441,8.15069359405191,0.00451508742294481,0.00765945206931794
"ENSG00000117450.15","ENSG00000117450.15",0.288741137020463,8.48576484173082,8.14530520199358,0.00452826658392927,0.0076804521564878
"ENSG00000054282.16","ENSG00000054282.16",0.27200324062817,2.9564280383934,11.2138658884994,0.00452936856138753,0.0076809641740541
"ENSG00000105447.13","ENSG00000105447.13",0.205753652877326,4.3101603781954,8.13410606050683,0.00455578391348891,0.00772439519065587
"ENSG00000255468.7","ENSG00000255468.7",0.453878643238335,2.81446026142193,8.12750981552304,0.00457207145983107,0.00775064206505002
"ENSG00000133639.6","ENSG00000133639.6",-0.330855197646768,6.56913113522027,8.12590778974898,0.00457603618539065,0.00775599353456042
"ENSG00000241553.12","ENSG00000241553.12",0.296090549954967,5.83303967843702,8.12462463359839,0.00457921430172482,0.00776001011413208
"ENSG00000235859.5","ENSG00000235859.5",0.243568713730403,3.65492796978268,8.56684991191941,0.00459980358329175,0.00779352530878941
"ENSG00000165516.11","ENSG00000165516.11",-0.294388883558252,4.13057376709963,8.11373003040458,0.00460628912347522,0.00780313668349429
"ENSG00000158711.14","ENSG00000158711.14",0.299037359882642,3.70052115622325,8.10328564913598,0.00463239878349018,0.0078459824138154
"ENSG00000141446.11","ENSG00000141446.11",0.24781037215793,3.21129361026531,9.14219959023737,0.00463726468202089,0.00785283841019589
"ENSG00000093217.11","ENSG00000093217.11",-0.358054613482437,4.26706988376938,8.10038741729264,0.0046396707971755,0.00785552727564106
"ENSG00000234155.1","ENSG00000234155.1",-0.675218843171022,3.20551131387442,8.09786787840762,0.00464600211074562,0.00786485985948827
"ENSG00000169018.6","ENSG00000169018.6",-0.23058953165181,4.13473452006777,8.0948449249285,0.00465361011004092,0.00787634997468138
"ENSG00000124216.4","ENSG00000124216.4",-0.558700373501296,2.79378560907333,8.07434482779953,0.00470554092513767,0.00796232858787377
